2 0 0, -1 -0 0,-1,-1
1.93185 0.517638 0, -0.965926 -0.258819 0,-1,-1
1.73205 1 0, -0.866025 -0.5 0,-1,-1
1.41421 1.41421 0, -0.707107 -0.707107 0,-1,-1
1 1.73205 0, -0.5 -0.866025 0,-1,-1
0.517638 1.93185 0, -0.258819 -0.965926 0,-1,-1
-2.06823e-13 2 0, 1.03412e-13 -1 0,-1,-1
-0.517638 1.93185 0, 0.258819 -0.965926 0,-1,-1
-1 1.73205 0, 0.5 -0.866025 0,-1,-1
-1.41421 1.41421 0, 0.707107 -0.707107 0,-1,-1
-1.73205 1 0, 0.866025 -0.5 0,-0.982963,-1
-1.93185 0.517638 0, 0.965926 -0.258819 0,-0.982963,-1
-2 -4.15423e-13 0, 1 2.07711e-13 0,-0.982963,-1
-1.93185 -0.517638 0, 0.965926 0.258819 0,-0.982963,-1
-1.73205 -1 0, 0.866025 0.5 0,-0.982963,-1
-1.41421 -1.41421 0, 0.707107 0.707107 0,-0.982963,-1
-1 -1.73205 0, 0.5 0.866025 0,-0.982963,-1
-0.517638 -1.93185 0, 0.258819 0.965926 0,-0.982963,-1
6.2491e-13 -2 0, -3.12455e-13 1 0,-0.982963,-1
0.517638 -1.93185 0, -0.258819 0.965926 0,-0.982963,-1
1 -1.73205 0, -0.5 0.866025 0,-0.982963,-1
1.41421 -1.41421 0, -0.707107 0.707107 0,-0.982963,-1
1.73205 -1 0, -0.866025 0.5 0,-0.982963,-1
1.93185 -0.517638 0, -0.965926 0.258819 0,-0.982963,-1
2 0 0.785398, -1 -0 0,-0.982963,-1
1.93185 0.517638 0.785398, -0.965926 -0.258819 0,-0.982963,-1
1.73205 1 0.785398, -0.866025 -0.5 0,-0.982963,-1
1.41421 1.41421 0.785398, -0.707107 -0.707107 0,-0.982963,-1
1 1.73205 0.785398, -0.5 -0.866025 0,-0.982963,-1
0.517638 1.93185 0.785398, -0.258819 -0.965926 0,-0.982963,-1
-2.06823e-13 2 0.785398, 1.03412e-13 -1 0,-0.933013,-1
-0.517638 1.93185 0.785398, 0.258819 -0.965926 0,-0.933013,-1
-1 1.73205 0.785398, 0.5 -0.866025 0,-0.933013,-1
-1.41421 1.41421 0.785398, 0.707107 -0.707107 0,-0.933013,-1
-1.73205 1 0.785398, 0.866025 -0.5 0,-0.933013,-1
-1.93185 0.517638 0.785398, 0.965926 -0.258819 0,-0.933013,-1
-2 -4.15423e-13 0.785398, 1 2.07711e-13 0,-0.933013,-1
-1.93185 -0.517638 0.785398, 0.965926 0.258819 0,-0.933013,-1
-1.73205 -1 0.785398, 0.866025 0.5 0,-0.933013,-1
-1.41421 -1.41421 0.785398, 0.707107 0.707107 0,-0.933013,-1
-1 -1.73205 0.785398, 0.5 0.866025 0,-0.933013,-1
-0.517638 -1.93185 0.785398, 0.258819 0.965926 0,-0.933013,-1
6.2491e-13 -2 0.785398, -3.12455e-13 1 0,-0.933013,-1
0.517638 -1.93185 0.785398, -0.258819 0.965926 0,-0.933013,-1
1 -1.73205 0.785398, -0.5 0.866025 0,-0.933013,-1
1.41421 -1.41421 0.785398, -0.707107 0.707107 0,-0.933013,-1
1.73205 -1 0.785398, -0.866025 0.5 0,-0.933013,-1
1.93185 -0.517638 0.785398, -0.965926 0.258819 0,-0.933013,-1
2 0 1.5708, -1 -0 -0,-0.933013,-1
1.93185 0.517638 1.5708, -0.965926 -0.258819 -0,-0.933013,-1
1.73205 1 1.5708, -0.866025 -0.5 -0,-0.853553,-1
1.41421 1.41421 1.5708, -0.707107 -0.707107 -0,-0.853553,-1
1 1.73205 1.5708, -0.5 -0.866025 -0,-0.853553,-1
0.517638 1.93185 1.5708, -0.258819 -0.965926 -0,-0.853553,-1
-2.06823e-13 2 1.5708, 1.03412e-13 -1 -0,-0.853553,-1
-0.517638 1.93185 1.5708, 0.258819 -0.965926 -0,-0.853553,-1
-1 1.73205 1.5708, 0.5 -0.866025 -0,-0.853553,-1
-1.41421 1.41421 1.5708, 0.707107 -0.707107 -0,-0.853553,-1
-1.73205 1 1.5708, 0.866025 -0.5 -0,-0.853553,-1
-1.93185 0.517638 1.5708, 0.965926 -0.258819 -0,-0.853553,-1
-2 -4.15423e-13 1.5708, 1 2.07711e-13 -0,-0.853553,-1
-1.93185 -0.517638 1.5708, 0.965926 0.258819 -0,-0.853553,-1
-1.73205 -1 1.5708, 0.866025 0.5 -0,-0.853553,-1
-1.41421 -1.41421 1.5708, 0.707107 0.707107 -0,-0.853553,-1
-1 -1.73205 1.5708, 0.5 0.866025 -0,-0.853553,-1
-0.517638 -1.93185 1.5708, 0.258819 0.965926 -0,-0.853553,-1
6.2491e-13 -2 1.5708, -3.12455e-13 1 -0,-0.853553,-1
0.517638 -1.93185 1.5708, -0.258819 0.965926 -0,-0.853553,-1
1 -1.73205 1.5708, -0.5 0.866025 -0,-0.853553,-1
1.41421 -1.41421 1.5708, -0.707107 0.707107 -0,-0.853553,-1
1.73205 -1 1.5708, -0.866025 0.5 -0,-0.75,-1
1.93185 -0.517638 1.5708, -0.965926 0.258819 -0,-0.75,-1
2 0 2.35619, -1 -0 -0,-0.75,-1
1.93185 0.517638 2.35619, -0.965926 -0.258819 -0,-0.75,-1
1.73205 1 2.35619, -0.866025 -0.5 -0,-0.75,-1
1.41421 1.41421 2.35619, -0.707107 -0.707107 -0,-0.75,-1
1 1.73205 2.35619, -0.5 -0.866025 -0,-0.75,-1
0.517638 1.93185 2.35619, -0.258819 -0.965926 -0,-0.75,-1
-2.06823e-13 2 2.35619, 1.03412e-13 -1 -0,-0.75,-1
-0.517638 1.93185 2.35619, 0.258819 -0.965926 -0,-0.75,-1
-1 1.73205 2.35619, 0.5 -0.866025 -0,-0.75,-1
-1.41421 1.41421 2.35619, 0.707107 -0.707107 -0,-0.75,-1
-1.73205 1 2.35619, 0.866025 -0.5 -0,-0.75,-1
-1.93185 0.517638 2.35619, 0.965926 -0.258819 -0,-0.75,-1
-2 -4.15423e-13 2.35619, 1 2.07711e-13 -0,-0.75,-1
-1.93185 -0.517638 2.35619, 0.965926 0.258819 -0,-0.75,-1
-1.73205 -1 2.35619, 0.866025 0.5 -0,-0.75,-1
-1.41421 -1.41421 2.35619, 0.707107 0.707107 -0,-0.75,-1
-1 -1.73205 2.35619, 0.5 0.866025 -0,-0.75,-1
-0.517638 -1.93185 2.35619, 0.258819 0.965926 -0,-0.75,-1
6.2491e-13 -2 2.35619, -3.12455e-13 1 -0,-0.62941,-1
0.517638 -1.93185 2.35619, -0.258819 0.965926 -0,-0.62941,-1
1 -1.73205 2.35619, -0.5 0.866025 -0,-0.62941,-1
1.41421 -1.41421 2.35619, -0.707107 0.707107 -0,-0.62941,-1
1.73205 -1 2.35619, -0.866025 0.5 -0,-0.62941,-1
1.93185 -0.517638 2.35619, -0.965926 0.258819 -0,-0.62941,-1
2 0 3.14159, -1 -0 -0,-0.62941,-1
1.93185 0.517638 3.14159, -0.965926 -0.258819 -0,-0.62941,-1
1.73205 1 3.14159, -0.866025 -0.5 -0,-0.62941,-1
1.41421 1.41421 3.14159, -0.707107 -0.707107 -0,-0.62941,-1
1 1.73205 3.14159, -0.5 -0.866025 -0,-0.62941,-1
0.517638 1.93185 3.14159, -0.258819 -0.965926 -0,-0.62941,-1
-2.06823e-13 2 3.14159, 1.03412e-13 -1 -0,-0.62941,-1
-0.517638 1.93185 3.14159, 0.258819 -0.965926 -0,-0.62941,-1
-1 1.73205 3.14159, 0.5 -0.866025 -0,-0.62941,-1
-1.41421 1.41421 3.14159, 0.707107 -0.707107 -0,-0.62941,-1
-1.73205 1 3.14159, 0.866025 -0.5 -0,-0.62941,-1
-1.93185 0.517638 3.14159, 0.965926 -0.258819 -0,-0.62941,-1
-2 -4.15423e-13 3.14159, 1 2.07711e-13 -0,-0.62941,-1
-1.93185 -0.517638 3.14159, 0.965926 0.258819 -0,-0.62941,-1
-1.73205 -1 3.14159, 0.866025 0.5 -0,-0.5,-1
-1.41421 -1.41421 3.14159, 0.707107 0.707107 -0,-0.5,-1
-1 -1.73205 3.14159, 0.5 0.866025 -0,-0.5,-1
-0.517638 -1.93185 3.14159, 0.258819 0.965926 -0,-0.5,-1
6.2491e-13 -2 3.14159, -3.12455e-13 1 -0,-0.5,-1
0.517638 -1.93185 3.14159, -0.258819 0.965926 -0,-0.5,-1
1 -1.73205 3.14159, -0.5 0.866025 -0,-0.5,-1
1.41421 -1.41421 3.14159, -0.707107 0.707107 -0,-0.5,-1
1.73205 -1 3.14159, -0.866025 0.5 -0,-0.5,-1
1.93185 -0.517638 3.14159, -0.965926 0.258819 -0,-0.5,-1
